date,site,starttime,endtime,soilmoist1,soilmoist5,starttemp,startlum,startwind-min,startwind-max,startrh-min,startrh-max,endtemp,endlum,endwind-min,endwind-max,endrh-min,endrh-max,round,notes
5/20/2021,Ohio Pass Low,10:10,11:00,19.3,17.5,17.15,20000,1.5,2.6,27.8,29.9,18.8,20000,1.1,1.9,20.6,27.7,,"Start/end conditions taken at two discrete points, not using min/max function on Envirometer"
5/25/2021,Brush Creek Trail,12:30,12:55,43.6,37.7,20.4,20000,0,1,6.7,11.8,21.05,20000,1.5,2,5,5.2,,"Start/end conditions taken at two discrete points, not using min/max function on Envirometer"
5/25/2021,Brush Creek Hill,11:05,11:35,10.8,16.1,15.65,20000,0,1.1,12.6,14.1,20.15,20000,1,1.4,7.3,10.9,,"Start/end conditions taken at two discrete points, not using min/max function on Envirometer"
5/27/2021,Meridian,10:56,11:37,13.4,17.7,16.2,20000,1,2.5,18,19.5,20.7,20000,1.5,1.8,9.1,12.5,,"Start/end conditions taken at two discrete points, not using min/max function on Envirometer"
5/27/2021,Wash 3C,9:53,10:23,12,15.1,14.5,20000,0,1,20.4,21,13.75,20000,0.9,1,18.4,20.2,,"Start/end conditions taken at two discrete points, not using min/max function on Envirometer"
5/27/2021,Stupid Falls,12:45,13:17,16.7,8.7,17.9,20000,1.3,2,17.6,22.4,20.3,20000,1.9,3,13,17,,"Start/end conditions taken at two discrete points, not using min/max function on Envirometer. Soil moisture taken 5/26."
5/27/2021,Gothic Town,13:50,14:38,19.4,24.9,16.8,20000,0,3,14.9,17.7,20,20000,1,5.4,11.2,16.3,,Soil moisture taken 5/26. Soil moisture 1 taken at T2 S2
5/28/2021,Ohio Pass Low,11:52,12:56,16.8,12.6,19,,0.7,3.1,5.6,9.8,23.5,,0,25,5.4,12.5,,
6/1/2021,Kebler Pass,12:59,13:14,35.6,27.7,18.5,,0,2.3,16,18.4,17,,0,3.3,20.3,30.2,,
6/1/2021,Lake Irwin,12:19,12:44,9.6,15.6,17,,0.3,2.3,15.7,27.5,21.2,,0,0.3,13.4,27.5,,nothing caught during sampling round
6/1/2021,Coal Creek,13:27,13:42,11.7,17.8,18,,0.5,3.6,20.4,24.5,16.3,,0.4,3.4,17.1,22,,
5/29/2021,403 Bench,12:58,13:40,,,18.4,,0,5.3,8.8,10.6,20.4,,0,3.7,4.6,7.5,,forgot soil probe
6/2/2021,Gothic Town,9:57,10:42,16.2,21.7,21.6,,0.6,4.6,14.4,22.7,21.6,,0,1.3,13.8,22.3,,
6/2/2021,Stupid Falls,12:40,12:58,13,10.9,21.9,,0.4,4.8,8.8,11.5,21.6,,0,2.9,13.6,19.4,,
6/3/2021,Rustlers Gulch,13:10,13:30,20.9,19.3,21.1,,1.4,7.6,12.4,18.7,20.3,,0.3,5.6,13.8,20,,
6/3/2021,Wash 3C,10:46,11:01,15.5,13.5,21.5,,0,3.2,12.2,17.3,22,,0,3.3,12.1,16.5,,
